"","key_index","analysis_type","analysis_var_1","analysis_var_value_1","group_var_1","group_var_value_1","nb_analysis_var","nb_group_var","X","stat","sector","indicator","analysis_level","label::English","label::Arabic"
"11","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","dont_know","NA","NA",1,1,631,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"12","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","prefer_not_to_answer","NA","NA",1,1,632,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"13","mean @/@ i_fcs ~/~ NA @/@ NA ~/~ NA","mean","i_fcs","NA","NA","NA",1,1,719,59.8645003620566,"Food Security","Average food security score","HH_data",NA,NA
"14","prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ NA ~/~ NA","prop_select_one","i_fcs_category","Acceptable","NA","NA",1,1,720,78,"Food Security","Proportion of FCS","HH_data",NA,NA
"15","prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ NA ~/~ NA","prop_select_one","i_fcs_category","Borderline","NA","NA",1,1,721,15,"Food Security","Proportion of FCS","HH_data",NA,NA
"16","prop_select_one @/@ i_fcs_category ~/~ Poor @/@ NA ~/~ NA","prop_select_one","i_fcs_category","Poor","NA","NA",1,1,722,7,"Food Security","Proportion of FCS","HH_data",NA,NA
"17","mean @/@ i_rcsi ~/~ NA @/@ NA ~/~ NA","mean","i_rcsi","NA","NA","NA",1,1,723,11.6891676974729,"Food Security","RCSI","HH_data",NA,NA
"18","prop_select_one @/@ i_rcsi_cat ~/~ High @/@ NA ~/~ NA","prop_select_one","i_rcsi_cat","High","NA","NA",1,1,724,23,"Food Security","RCSI_CAT","HH_data",NA,NA
"19","prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ NA ~/~ NA","prop_select_one","i_rcsi_cat","Low","NA","NA",1,1,725,33,"Food Security","RCSI_CAT","HH_data",NA,NA
"20","prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ NA ~/~ NA","prop_select_one","i_rcsi_cat","Medium","NA","NA",1,1,726,44,"Food Security","RCSI_CAT","HH_data",NA,NA
"21","mean @/@ hhs_score ~/~ NA @/@ NA ~/~ NA","mean","hhs_score","NA","NA","NA",1,1,730,0.333747559027164,"Food Security","HHS","HH_data",NA,NA
"22","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","pop_group","lebanese",1,1,2226,28,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"23","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","pop_group","migrant",1,1,2227,46,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"24","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","pop_group","prl",1,1,2228,37,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"25","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","pop_group","lebanese",1,1,2229,21,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"26","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","pop_group","migrant",1,1,2230,31,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"27","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","pop_group","prl",1,1,2231,24,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"28","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","pop_group","lebanese",1,1,2232,24,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"29","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","pop_group","migrant",1,1,2233,6,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"30","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","pop_group","prl",1,1,2234,20,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"31","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","pop_group","lebanese",1,1,2235,17,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"32","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","pop_group","migrant",1,1,2236,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"33","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","pop_group","prl",1,1,2237,12,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"34","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","pop_group","lebanese",1,1,2238,29,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"35","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","pop_group","migrant",1,1,2239,13,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"36","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","pop_group","prl",1,1,2240,17,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"37","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","pop_group","lebanese",1,1,2241,21,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"38","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","pop_group","migrant",1,1,2242,14,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"39","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","pop_group","prl",1,1,2243,7,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"40","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","show_lack_of_respect_for_local_cultures","pop_group","lebanese",1,1,2244,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"41","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","show_lack_of_respect_for_local_cultures","pop_group","migrant",1,1,2245,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"42","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","show_lack_of_respect_for_local_cultures","pop_group","prl",1,1,2246,1,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"43","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","are_disrespectful_in_their_interactions_with_individual_members_of_our_community","pop_group","lebanese",1,1,2247,3,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"44","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","are_disrespectful_in_their_interactions_with_individual_members_of_our_community","pop_group","migrant",1,1,2248,6,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"45","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","are_disrespectful_in_their_interactions_with_individual_members_of_our_community","pop_group","prl",1,1,2249,7,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"46","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","asked_for_favors_in_exchange_for_the_aid_service","pop_group","lebanese",1,1,2250,0,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"47","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","asked_for_favors_in_exchange_for_the_aid_service","pop_group","migrant",1,1,2251,3,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"48","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","asked_for_favors_in_exchange_for_the_aid_service","pop_group","prl",1,1,2252,0,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"49","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","other","pop_group","lebanese",1,1,2253,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"50","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","other","pop_group","migrant",1,1,2254,6,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"51","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","other","pop_group","prl",1,1,2255,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"52","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","dont_know","pop_group","lebanese",1,1,2256,1,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"53","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","dont_know","pop_group","migrant",1,1,2257,5,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"54","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","dont_know","pop_group","prl",1,1,2258,4,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"55","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","prefer_not_to_answer","pop_group","lebanese",1,1,2259,1,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"56","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","prefer_not_to_answer","pop_group","migrant",1,1,2260,1,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"57","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","prefer_not_to_answer","pop_group","prl",1,1,2261,6,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"58","mean @/@ i_fcs ~/~ NA @/@ pop_group ~/~ lebanese","mean","i_fcs","NA","pop_group","lebanese",1,1,2420,60.3088685015288,"Food Security","Average food security score","HH_data",NA,NA
"59","mean @/@ i_fcs ~/~ NA @/@ pop_group ~/~ migrant","mean","i_fcs","NA","pop_group","migrant",1,1,2421,64.4038834951457,"Food Security","Average food security score","HH_data",NA,NA
"60","mean @/@ i_fcs ~/~ NA @/@ pop_group ~/~ prl","mean","i_fcs","NA","pop_group","prl",1,1,2422,48.6026315789475,"Food Security","Average food security score","HH_data",NA,NA
"61","prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ pop_group ~/~ lebanese","prop_select_one","i_fcs_category","Acceptable","pop_group","lebanese",1,1,2423,80,"Food Security","Proportion of FCS","HH_data",NA,NA
"62","prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ pop_group ~/~ lebanese","prop_select_one","i_fcs_category","Borderline","pop_group","lebanese",1,1,2424,15,"Food Security","Proportion of FCS","HH_data",NA,NA
"63","prop_select_one @/@ i_fcs_category ~/~ Poor @/@ pop_group ~/~ lebanese","prop_select_one","i_fcs_category","Poor","pop_group","lebanese",1,1,2425,5,"Food Security","Proportion of FCS","HH_data",NA,NA
"64","prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ pop_group ~/~ migrant","prop_select_one","i_fcs_category","Acceptable","pop_group","migrant",1,1,2426,81,"Food Security","Proportion of FCS","HH_data",NA,NA
"65","prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ pop_group ~/~ migrant","prop_select_one","i_fcs_category","Borderline","pop_group","migrant",1,1,2427,14,"Food Security","Proportion of FCS","HH_data",NA,NA
"66","prop_select_one @/@ i_fcs_category ~/~ Poor @/@ pop_group ~/~ migrant","prop_select_one","i_fcs_category","Poor","pop_group","migrant",1,1,2428,5,"Food Security","Proportion of FCS","HH_data",NA,NA
"67","prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ pop_group ~/~ prl","prop_select_one","i_fcs_category","Acceptable","pop_group","prl",1,1,2429,55,"Food Security","Proportion of FCS","HH_data",NA,NA
"68","prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ pop_group ~/~ prl","prop_select_one","i_fcs_category","Borderline","pop_group","prl",1,1,2430,24,"Food Security","Proportion of FCS","HH_data",NA,NA
"69","prop_select_one @/@ i_fcs_category ~/~ Poor @/@ pop_group ~/~ prl","prop_select_one","i_fcs_category","Poor","pop_group","prl",1,1,2431,22,"Food Security","Proportion of FCS","HH_data",NA,NA
"70","mean @/@ i_rcsi ~/~ NA @/@ pop_group ~/~ lebanese","mean","i_rcsi","NA","pop_group","lebanese",1,1,2432,13.2482251521295,"Food Security","RCSI","HH_data",NA,NA
"71","mean @/@ i_rcsi ~/~ NA @/@ pop_group ~/~ migrant","mean","i_rcsi","NA","pop_group","migrant",1,1,2433,5.44711111111111,"Food Security","RCSI","HH_data",NA,NA
"72","mean @/@ i_rcsi ~/~ NA @/@ pop_group ~/~ prl","mean","i_rcsi","NA","pop_group","prl",1,1,2434,13.1694915254237,"Food Security","RCSI","HH_data",NA,NA
"73","prop_select_one @/@ i_rcsi_cat ~/~ High @/@ pop_group ~/~ lebanese","prop_select_one","i_rcsi_cat","High","pop_group","lebanese",1,1,2435,26,"Food Security","RCSI_CAT","HH_data",NA,NA
"74","prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ pop_group ~/~ lebanese","prop_select_one","i_rcsi_cat","Low","pop_group","lebanese",1,1,2436,24,"Food Security","RCSI_CAT","HH_data",NA,NA
"75","prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ pop_group ~/~ lebanese","prop_select_one","i_rcsi_cat","Medium","pop_group","lebanese",1,1,2437,51,"Food Security","RCSI_CAT","HH_data",NA,NA
"76","prop_select_one @/@ i_rcsi_cat ~/~ High @/@ pop_group ~/~ migrant","prop_select_one","i_rcsi_cat","High","pop_group","migrant",1,1,2438,11,"Food Security","RCSI_CAT","HH_data",NA,NA
"77","prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ pop_group ~/~ migrant","prop_select_one","i_rcsi_cat","Low","pop_group","migrant",1,1,2439,69,"Food Security","RCSI_CAT","HH_data",NA,NA
"78","prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ pop_group ~/~ migrant","prop_select_one","i_rcsi_cat","Medium","pop_group","migrant",1,1,2440,20,"Food Security","RCSI_CAT","HH_data",NA,NA
"79","prop_select_one @/@ i_rcsi_cat ~/~ High @/@ pop_group ~/~ prl","prop_select_one","i_rcsi_cat","High","pop_group","prl",1,1,2441,26,"Food Security","RCSI_CAT","HH_data",NA,NA
"80","prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ pop_group ~/~ prl","prop_select_one","i_rcsi_cat","Low","pop_group","prl",1,1,2442,25,"Food Security","RCSI_CAT","HH_data",NA,NA
